#AGWN
00033615-n	grc:lemma	ἐκμετρέω
00033615-n	grc:lemma	παραμετρέω
#00034479-n	eng:def	0	an action
00034479-n	grc:lemma	ἔργον
00034479-n	grc:lemma	τέος
00034479-n	grc:lemma	σπούδασμα
#00034574-n	eng:def	0	a kind act
00034574-n	grc:lemma	ἐπητύς
00034574-n	grc:lemma	προσφίλεια
00034574-n	grc:lemma	εὐεργεσίη
00034574-n	grc:lemma	εὔνοια
00034574-n	grc:lemma	ἀγαθωσύνη
00034574-n	grc:lemma	ἐνηείη
00034574-n	grc:lemma	εὐεργέτημα
#00035189-n	eng:def	0	the action of accomplishing something
00035189-n	grc:lemma	κατέργασμα
00035189-n	grc:lemma	πρῆξις
00035189-n	grc:lemma	τελείωσις
00035189-n	grc:lemma	ἐπιτελείωσις
00035189-n	grc:lemma	ἄνυσις
00035189-n	grc:lemma	ἄνυσμα
00035189-n	grc:lemma	σοφίη
00035189-n	grc:lemma	τελευτή
#00036762-n	eng:def	0	a notable achievement
00036762-n	grc:lemma	σπουδή
00036762-n	grc:lemma	ὁρμή
00036762-n	grc:lemma	ἐνεργολαβέω
#00042757-n	eng:def	0	the act of departing
00042757-n	grc:lemma	ἐναπόλειψις
00042757-n	grc:lemma	παροίχησις
00042757-n	grc:lemma	ἀποδημία
00042757-n	grc:lemma	ἴεσις
00042757-n	grc:lemma	μεταχώρησις
00042757-n	grc:lemma	πρόσοδος
00042757-n	grc:lemma	βάδισις
00042757-n	grc:lemma	αὐτόστολος
00042757-n	grc:lemma	χώρησις
00042757-n	grc:lemma	ἄφοδος
00042757-n	grc:lemma	ἄπαρσις
#00045907-n	eng:def	0	the act of regaining or saving something lost (or in danger of becoming lost)
00045907-n	grc:lemma	ἀνάρρωσις
00045907-n	grc:lemma	ἀνακομιδή
00045907-n	grc:lemma	ἀναψυχή
00045907-n	grc:lemma	ἀρτεμία
00045907-n	grc:lemma	ἐξαναφορά
00045907-n	grc:lemma	ἀνάσφαλσις
#00048374-n	eng:def	0	the act of arriving at a certain place
00048374-n	grc:lemma	ἐπέλευσις
00048374-n	grc:lemma	εἰσέλευσις
00048374-n	grc:lemma	βλῶσις
00048374-n	grc:lemma	ἔλευσις
00048374-n	grc:lemma	ἄφιξις
00048374-n	grc:lemma	κάθιξις
#00048656-n	eng:def	0	arrival at a new stage
00048656-n	grc:lemma	ἐπίτευξις
00048656-n	grc:lemma	τεῦξις
#00049003-n	eng:def	0	the act of entering
00049003-n	grc:lemma	ἔνδυσις
00049003-n	grc:lemma	εἰσίθμη
00049003-n	grc:lemma	παρέμπτωσις
00049003-n	grc:lemma	εἰσέλευσις
00049003-n	grc:lemma	ἐπείσοδος
00049003-n	grc:lemma	εἴσοδος
00049003-n	grc:lemma	εἰσηλυσία
00049003-n	grc:lemma	ἐπικηρυκεία
00049003-n	grc:lemma	θύρη
00049003-n	grc:lemma	στόμωμα
00049003-n	grc:lemma	εἰσήλυσις
00049003-n	grc:lemma	εἴσδυσις
#00050195-n	eng:def	0	the act of appearing in public view
00050195-n	grc:lemma	ὀπτασία
00050195-n	grc:lemma	ὄψις
00050195-n	grc:lemma	σχῆμα
00050195-n	grc:lemma	συμφάνεια
00050195-n	grc:lemma	φαντασία
00050195-n	grc:lemma	εἶδος
00050195-n	grc:lemma	ἴνδαλμα
00050195-n	grc:lemma	ἐπιφάνεια
00050195-n	grc:lemma	πρόσοψις
00050195-n	grc:lemma	ἀνάφανσις
00050195-n	grc:lemma	ἐσωπή
#00051192-n	eng:def	0	a coming to or returning home
00051192-n	grc:lemma	ὑποτροπάζω
00051192-n	grc:lemma	κατεισέρχομαι
00051192-n	grc:lemma	ἐπανακύκλησις
00051192-n	grc:lemma	ἐπικύκλησις
00051192-n	grc:lemma	προσάγγελμα
00051192-n	grc:lemma	ἐπαναπορεύομαι
00051192-n	grc:lemma	νόστος
00051192-n	grc:lemma	ἐπικαμπή
00051192-n	grc:lemma	ἀποτίνω
00051192-n	grc:lemma	ὑποστρέφω
00051192-n	grc:lemma	ἐπαναχώρησις
00051192-n	grc:lemma	νοστέω
00051192-n	grc:lemma	ἐγκαταστρέφω
00051192-n	grc:lemma	ἀπόδοσις
00051192-n	grc:lemma	ἀμοιβή
00051192-n	grc:lemma	ἐπανέλευσις
00051192-n	grc:lemma	ἐπανατρέχω
00051192-n	grc:lemma	ἐπανάζευξις
00051192-n	grc:lemma	ἐπαναστροφή
00051192-n	grc:lemma	ἀνθυποστροφή
00051192-n	grc:lemma	ἀπονόστησις
00051192-n	grc:lemma	ἐπάνειμι
00051192-n	grc:lemma	ἀνολισθάνω
00051192-n	grc:lemma	ἀνήλυσις
00051192-n	grc:lemma	ἀποδίδωμι
00051192-n	grc:lemma	ἀπονέομαι
00051192-n	grc:lemma	ἐπαναχωρέω
